,loan_amnt,int_rate,installment,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,term_ 36 months,term_ 60 months,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation
15012,24000.0,16.4,588.75,10,75000.0,1,26.4,0.0,1.0,9.0,1.0,15789.0,54.8,14.0,1.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15083,20000.0,25.0,795.2,2,15600.0,1,20.62,0.0,0.0,6.0,0.0,3657.0,38.1,7.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15326,25000.0,25.0,994.0,10,68000.0,1,27.66,0.0,0.0,13.0,0.0,28963.0,41.9,37.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15473,11000.0,15.57,265.0,10,85000.0,1,6.34,2.0,2.0,15.0,0.0,12276.0,22.4,36.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15528,6000.0,10.33,194.54,10,54000.0,1,11.73,0.0,0.0,10.0,0.0,37142.0,36.1,19.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15630,10000.0,14.74,236.54,10,100000.0,1,13.63,0.0,3.0,13.0,0.0,5745.0,15.2,42.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
15679,6000.0,16.4,212.13,5,110000.0,1,7.96,6.0,0.0,9.0,0.0,10749.0,89.6,26.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15697,10000.0,10.33,324.23,4,10000.0,1,76.71,0.0,0.0,6.0,0.0,6014.0,42.4,9.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
15779,30000.0,20.0,1114.91,10,137512.0,1,26.0,0.0,0.0,14.0,0.0,12632.0,32.2,32.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15783,5000.0,6.46,153.16,10,100000.0,1,9.97,0.0,0.0,11.0,0.0,5824.0,21.2,29.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15864,17500.0,13.08,590.32,3,98000.0,1,22.37,2.0,0.0,12.0,0.0,25621.0,42.0,17.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15894,3000.0,17.97,108.42,1,45000.0,1,9.55,0.0,0.0,3.0,0.0,1932.0,96.6,6.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15935,3500.0,6.46,107.21,1,50000.0,1,0.84,0.0,0.0,4.0,0.0,1506.0,2.6,15.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15977,39075.0,17.97,1412.07,0,180047.0,1,31.31,2.0,0.0,16.0,0.0,28513.0,64.8,36.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16008,25000.0,17.19,893.69,0,200000.0,1,7.63,0.0,1.0,13.0,0.0,34526.0,41.2,25.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16036,1800.0,7.02,55.6,10,42500.0,1,19.23,0.0,0.0,12.0,0.0,3432.0,6.2,20.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16058,23000.0,7.56,716.08,3,98000.0,1,20.02,2.0,0.0,12.0,0.0,1863.0,12.1,38.0,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16101,25000.0,25.0,994.0,3,213000.0,1,10.9,0.0,1.0,25.0,0.0,30291.0,41.5,53.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16156,5500.0,11.71,181.92,3,100000.0,1,14.44,0.0,0.0,13.0,0.0,5779.0,51.1,33.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16161,19000.0,20.0,503.39,3,65000.0,1,18.37,0.0,0.0,7.0,0.0,18274.0,67.4,8.0,0.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16215,6400.0,16.4,226.28,2,28000.0,1,24.9,0.0,0.0,4.0,0.0,6366.0,66.3,13.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16252,1250.0,28.9,52.32,0,14400.0,1,18.42,0.0,1.0,7.0,0.0,1443.0,24.0,9.0,0.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16271,16175.0,11.71,535.01,6,106000.0,1,22.74,0.0,1.0,12.0,0.0,15524.0,38.0,21.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16292,8000.0,17.97,289.1,10,185000.0,1,23.59,0.0,0.0,15.0,0.0,25290.0,64.2,63.0,0.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16384,2400.0,11.71,79.39,2,54000.0,1,6.7,0.0,0.0,6.0,0.0,4908.0,39.3,6.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16438,5000.0,7.56,155.67,2,38000.0,1,30.73,0.0,1.0,12.0,0.0,1725.0,34.5,22.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16461,6000.0,15.57,209.68,10,120000.0,1,9.04,0.0,0.0,6.0,0.0,14623.0,63.0,13.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16567,7000.0,8.81,221.98,10,36842.0,1,9.19,0.0,0.0,3.0,0.0,7465.0,43.9,9.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16568,7000.0,20.0,260.15,0,35000.0,1,9.77,0.0,0.0,6.0,0.0,8099.0,81.0,6.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16609,9000.0,11.71,297.69,10,125000.0,1,19.52,0.0,1.0,12.0,0.0,41055.0,95.9,25.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16611,15000.0,12.4,501.09,6,72000.0,1,25.53,0.0,0.0,9.0,0.0,14460.0,45.0,21.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16634,20000.0,28.8,632.41,5,53000.0,1,26.9,0.0,2.0,19.0,0.0,24303.0,49.7,31.0,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16675,14000.0,11.71,463.07,5,28000.0,1,83.54,0.0,2.0,13.0,0.0,17719.0,61.7,32.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16695,5000.0,15.57,174.73,1,38000.0,1,13.64,0.0,0.0,4.0,0.0,3923.0,87.2,12.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16721,8350.0,11.71,276.19,0,30463.0,1,37.43,0.0,0.0,9.0,0.0,2457.0,8.2,18.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16745,16000.0,16.4,565.68,2,120000.0,1,1.47,5.0,3.0,8.0,1.0,2252.0,11.0,29.0,1.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16762,10000.0,16.4,245.32,10,70000.0,1,20.97,0.0,0.0,7.0,1.0,14039.0,49.6,9.0,1.0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
16765,6000.0,13.08,202.4,10,70000.0,1,23.73,0.0,3.0,10.0,0.0,6141.0,38.9,23.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16798,40000.0,11.8,885.75,10,65000.0,1,15.14,0.0,0.0,7.0,0.0,2109.0,5.3,12.0,0.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
16800,6000.0,7.02,185.32,4,40000.0,1,12.81,0.0,0.0,6.0,0.0,6061.0,91.8,17.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16832,8000.0,16.4,282.84,2,55000.0,1,26.18,0.0,1.0,11.0,0.0,6169.0,40.9,15.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16877,40000.0,12.4,897.89,1,160000.0,1,2.52,0.0,0.0,4.0,0.0,9409.0,41.6,22.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16881,8000.0,12.4,267.25,10,55000.0,1,29.06,0.0,1.0,11.0,0.0,5965.0,14.7,35.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16889,12000.0,8.19,377.09,10,64875.0,1,14.86,0.0,4.0,21.0,0.0,23563.0,20.5,68.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16971,12000.0,8.81,380.54,10,81000.0,1,18.79,0.0,1.0,24.0,0.0,22405.0,23.3,50.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17068,15000.0,7.02,463.3,0,165000.0,1,5.59,0.0,1.0,10.0,0.0,13640.0,16.7,21.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17069,8000.0,8.19,251.4,0,150000.0,1,7.18,0.0,2.0,12.0,0.0,10421.0,11.6,14.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17087,15000.0,13.08,341.92,2,117712.0,1,11.14,0.0,1.0,15.0,0.0,8297.0,10.4,26.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
17100,25000.0,22.5,961.25,10,108000.0,1,19.82,16.0,1.0,9.0,0.0,5075.0,40.0,39.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17109,24000.0,16.4,588.75,5,127000.0,1,11.2,0.0,0.0,7.0,0.0,10363.0,35.6,25.0,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17113,30000.0,7.56,934.02,10,89000.0,1,14.87,0.0,0.0,9.0,0.0,30884.0,35.3,17.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17181,4000.0,15.57,139.79,0,102500.0,1,8.4,0.0,0.0,12.0,0.0,5524.0,33.9,23.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
17219,22625.0,15.57,790.64,10,145000.0,1,25.3,0.0,1.0,18.0,0.0,37414.0,46.6,33.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17243,30000.0,17.97,1084.13,10,85917.0,1,26.97,0.0,0.0,11.0,0.0,38340.0,79.1,32.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
17264,3000.0,11.71,99.23,1,16800.0,1,17.57,0.0,0.0,5.0,0.0,1470.0,16.5,6.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17268,16000.0,12.4,359.16,10,115000.0,1,10.74,0.0,0.0,6.0,0.0,22422.0,95.4,22.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17307,12000.0,13.9,278.6,10,186500.0,1,20.88,0.0,0.0,15.0,0.0,9774.0,16.5,47.0,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17316,3000.0,7.02,92.66,2,75000.0,1,19.09,0.0,2.0,12.0,0.0,4462.0,18.1,29.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17408,10000.0,15.57,349.46,8,36000.0,1,29.37,0.0,0.0,5.0,0.0,8087.0,83.0,12.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17447,4000.0,7.02,123.55,2,42000.0,1,17.46,0.0,1.0,9.0,0.0,1848.0,7.5,11.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17459,10000.0,11.71,330.76,5,60000.0,1,0.7,0.0,0.0,5.0,0.0,681.0,3.9,20.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17477,25000.0,8.19,785.61,9,150000.0,1,14.4,0.0,0.0,6.0,0.0,27866.0,81.3,10.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17506,12000.0,15.57,419.35,10,150000.0,1,28.42,0.0,3.0,31.0,0.0,51133.0,45.6,65.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17539,14000.0,12.4,467.68,0,44000.0,1,20.62,1.0,0.0,9.0,0.0,8261.0,21.5,25.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17554,35000.0,15.57,1223.08,1,90000.0,1,17.12,0.0,0.0,12.0,0.0,11726.0,26.6,20.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
17562,14000.0,16.4,494.97,10,71400.0,1,21.46,0.0,4.0,14.0,0.0,40194.0,42.0,32.0,0.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17568,22000.0,11.02,478.56,10,66000.0,1,20.16,0.0,0.0,13.0,0.0,23096.0,49.9,23.0,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17570,10000.0,20.89,269.92,3,81000.0,1,15.75,0.0,0.0,13.0,0.0,3941.0,34.3,19.0,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17572,35000.0,17.19,873.42,0,85500.0,1,18.02,0.0,0.0,16.0,0.0,5656.0,10.9,26.0,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17640,10800.0,11.02,234.93,0,114000.0,1,4.03,4.0,0.0,24.0,0.0,2954.0,1.6,53.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17724,11200.0,11.02,366.78,3,59000.0,1,18.0,0.0,0.0,3.0,0.0,82.0,1.2,13.0,0.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17740,26000.0,12.4,868.55,3,101000.0,1,20.16,0.0,0.0,7.0,0.0,27152.0,72.4,30.0,0.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17808,5800.0,8.81,183.93,0,83000.0,1,2.79,0.0,0.0,11.0,0.0,1306.0,6.1,45.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
17818,16800.0,17.97,607.11,10,125000.0,1,18.22,0.0,1.0,14.0,0.0,32071.0,43.4,40.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17885,12000.0,8.19,377.09,9,114000.0,1,9.63,0.0,2.0,9.0,1.0,6919.0,42.4,21.0,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17902,16000.0,13.9,546.07,10,150000.0,1,6.6,0.0,0.0,8.0,0.0,15522.0,64.4,15.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17917,18675.0,28.8,590.51,1,40000.0,1,7.56,0.0,0.0,8.0,0.0,8685.0,44.0,16.0,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17940,10000.0,11.31,328.86,10,110000.0,1,24.86,0.0,0.0,18.0,0.0,27328.0,44.0,40.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18047,4800.0,10.33,155.63,4,56000.0,1,16.2,0.0,0.0,8.0,0.0,3682.0,13.2,22.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18057,25000.0,11.02,543.81,10,150000.0,1,33.37,0.0,1.0,45.0,0.0,2046.0,1.4,76.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18077,12000.0,11.71,396.92,10,47000.0,1,17.28,0.0,0.0,11.0,1.0,3342.0,11.1,17.0,1.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18085,30000.0,20.0,1114.91,2,75000.0,1,27.84,0.0,1.0,30.0,0.0,32875.0,58.1,38.0,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
18108,9400.0,7.56,292.66,10,65000.0,1,6.15,0.0,1.0,5.0,1.0,4144.0,30.9,38.0,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18152,40000.0,6.46,1225.24,4,108000.0,1,16.79,0.0,2.0,12.0,0.0,27103.0,47.1,43.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18194,6000.0,15.57,209.68,2,18000.0,1,136.47,1.0,0.0,15.0,1.0,8164.0,22.7,27.0,1.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18338,32000.0,17.97,812.07,10,82500.0,1,12.2,0.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18356,10000.0,20.0,264.94,10,57000.0,1,25.64,1.0,0.0,7.0,0.0,2971.0,99.0,14.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18381,4200.0,11.02,137.55,0,35000.0,1,11.01,0.0,1.0,6.0,1.0,1867.0,8.2,17.0,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18389,20000.0,13.9,464.33,5,87000.0,1,12.72,0.0,0.0,11.0,1.0,22352.0,69.8,18.0,1.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18390,15000.0,16.4,530.33,10,110000.0,1,20.21,2.0,5.0,10.0,0.0,3735.0,20.0,36.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18393,4000.0,15.57,139.79,3,19000.0,1,14.02,0.0,0.0,7.0,0.0,7299.0,50.3,7.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18404,7000.0,17.97,252.97,10,69000.0,1,15.83,1.0,4.0,19.0,0.0,4291.0,16.0,36.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
18520,16000.0,14.74,378.46,0,78000.0,1,14.29,0.0,1.0,9.0,0.0,20543.0,70.4,11.0,0.0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18530,4000.0,20.0,148.66,9,140000.0,1,26.79,0.0,0.0,29.0,0.0,56703.0,50.6,42.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18554,24000.0,13.9,557.2,4,33000.0,1,38.62,0.0,3.0,15.0,0.0,9870.0,18.9,25.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18558,5000.0,16.4,176.78,4,34000.0,1,21.36,0.0,0.0,4.0,0.0,8865.0,77.8,5.0,0.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
18630,14000.0,14.74,331.16,0,250.0,1,999.0,0.0,0.0,5.0,0.0,8780.0,67.5,9.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
18681,12000.0,12.4,269.37,5,60000.0,1,6.38,0.0,0.0,7.0,0.0,9512.0,23.5,14.0,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18726,6000.0,8.19,188.55,10,46000.0,1,5.9,1.0,0.0,6.0,0.0,9921.0,29.6,20.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18745,10000.0,13.08,337.33,10,144000.0,1,3.95,0.0,0.0,10.0,0.0,5848.0,21.7,31.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18814,5000.0,13.9,170.65,9,111000.0,1,21.25,0.0,1.0,16.0,0.0,22426.0,48.9,32.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18815,10000.0,13.9,341.3,8,180000.0,1,9.68,0.0,1.0,14.0,0.0,41864.0,69.5,23.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
18874,30000.0,20.0,1114.91,5,90000.0,1,19.15,0.0,0.0,12.0,0.0,19559.0,81.5,18.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18914,20000.0,7.56,622.68,0,89000.0,1,14.43,0.0,0.0,13.0,0.0,20536.0,43.1,29.0,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
18986,28000.0,20.0,741.83,10,190000.0,1,13.09,1.0,0.0,10.0,0.0,55132.0,96.7,16.0,0.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
19024,12800.0,20.0,339.13,1,82000.0,1,19.49,0.0,3.0,15.0,1.0,7633.0,33.6,45.0,1.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
19035,9500.0,8.19,298.53,10,102000.0,1,7.84,0.0,0.0,11.0,0.0,2966.0,8.6,123.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19068,25000.0,14.74,863.46,1,50000.0,1,16.73,0.0,0.0,12.0,0.0,3279.0,13.4,17.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19079,8000.0,25.0,318.08,0,30000.0,1,14.88,0.0,0.0,3.0,0.0,0.0,34.45,9.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19100,15000.0,11.02,326.29,3,180000.0,1,13.84,0.0,0.0,13.0,0.0,23213.0,25.8,18.0,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19135,1500.0,16.4,53.04,0,135000.0,1,12.86,8.0,0.0,12.0,0.0,15122.0,85.4,44.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19165,1200.0,11.71,39.7,5,30000.0,1,30.52,0.0,0.0,14.0,0.0,1410.0,10.4,15.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19182,28000.0,14.74,662.31,0,130000.0,1,11.59,0.0,1.0,14.0,0.0,6589.0,9.7,28.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
19209,1000.0,20.0,37.17,0,50000.0,1,13.13,0.0,0.0,4.0,0.0,3817.0,54.5,6.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19257,3000.0,8.81,95.14,0,0.0,1,16.58,0.0,1.0,2.0,0.0,329.0,18.3,12.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19284,10000.0,22.5,279.04,1,26000.0,1,27.38,0.0,1.0,13.0,0.0,10978.0,41.9,22.0,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19343,12000.0,20.0,317.93,10,91000.0,1,21.61,0.0,1.0,7.0,0.0,6141.0,66.0,34.0,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19346,7000.0,17.97,252.97,0,37800.0,1,22.95,0.0,0.0,13.0,1.0,4826.0,20.5,16.0,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19350,35000.0,14.74,1208.84,10,85000.0,1,6.41,0.0,1.0,16.0,0.0,8213.0,10.2,44.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19380,3500.0,17.97,126.49,1,85000.0,1,19.72,0.0,0.0,15.0,0.0,24684.0,93.5,23.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19513,5000.0,20.0,185.82,0,54000.0,1,21.78,0.0,0.0,9.0,0.0,11374.0,70.2,27.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19514,26400.0,14.74,911.81,10,155000.0,1,9.1,1.0,0.0,20.0,0.0,15611.0,18.7,40.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19515,6025.0,17.19,215.38,5,48000.0,1,9.98,0.0,1.0,6.0,0.0,4920.0,45.6,8.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19556,8000.0,22.5,307.6,1,76000.0,1,32.42,1.0,2.0,15.0,0.0,10111.0,19.8,23.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19557,15300.0,20.0,405.36,1,77500.0,1,29.02,0.0,2.0,9.0,0.0,10472.0,32.0,14.0,0.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
19564,9600.0,8.19,301.68,10,97600.0,1,20.78,0.0,0.0,12.0,0.0,15072.0,19.7,29.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19597,4200.0,22.5,161.49,6,44000.0,1,22.09,0.0,0.0,7.0,0.0,3734.0,38.5,7.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19652,17600.0,15.57,423.99,10,134000.0,1,16.74,0.0,2.0,15.0,0.0,14124.0,30.1,42.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
19702,10000.0,14.74,236.54,5,67800.0,1,10.55,0.0,0.0,6.0,0.0,9136.0,76.8,9.0,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19712,10000.0,13.9,232.17,1,48000.0,1,15.85,0.0,0.0,6.0,1.0,2028.0,13.5,23.0,1.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19799,7050.0,15.57,246.37,8,55000.0,1,13.4,0.0,0.0,11.0,0.0,11493.0,22.9,18.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
