,loan_amnt,int_rate,installment,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,term_ 36 months,term_ 60 months,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation
1012,8000.0,16.4,282.84,2,46000.0,1,31.78,0.0,3.0,17.0,1.0,2456.0,7.2,41.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1014,17000.0,13.9,394.68,10,62000.0,1,22.57,0.0,0.0,10.0,0.0,19202.0,96.0,12.0,0.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1020,10500.0,11.71,347.3,3,100000.0,1,0.92,0.0,0.0,4.0,0.0,1998.0,23.5,5.0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1050,12500.0,13.08,284.93,10,85600.0,1,10.53,0.0,0.0,6.0,0.0,13534.0,78.2,24.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1053,28000.0,20.0,741.83,7,54000.0,1,33.84,0.0,0.0,18.0,0.0,17928.0,34.8,28.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1130,2200.0,8.19,69.14,3,15000.0,1,7.76,0.0,3.0,4.0,0.0,2457.0,20.1,4.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1132,12000.0,6.46,367.57,0,117000.0,1,0.54,0.0,0.0,8.0,0.0,2552.0,11.2,22.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1171,30925.0,14.74,731.49,10,66000.0,1,26.55,0.0,0.0,10.0,0.0,7690.0,34.0,21.0,0.0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1188,35000.0,7.02,1081.02,8,101000.0,1,5.68,0.0,0.0,7.0,1.0,1516.0,13.1,13.0,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1212,5375.0,13.08,181.32,10,55000.0,1,13.14,1.0,0.0,6.0,0.0,4911.0,54.6,17.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
